,source,target,length,Name_2,ID_2,geometry,unique_id
244,1721403,1681444,16278.55149,,,"MULTILINESTRING ((6.494875714278582 60.89322009368687, 6.54490902826586 61.03727089574781))",1721403_1681444
245,1682190,1645629,13752.94838,,,"MULTILINESTRING ((6.51669203270987 61.27470442896014, 6.29794567226526 61.339261803001726))",1682190_1645629
246,1645629,1647058,10525.6358,,,"MULTILINESTRING ((6.29794567226526 61.339261803001726, 6.169632400257792 61.41089509000023))",1645629_1647058
247,931938,287126,21696.93853,,,"MULTILINESTRING ((8.436248312035445 58.60069576741624, 8.296607356111744 58.420132561740694))",931938_287126
248,356179,1816537,15404.05265,,,"MULTILINESTRING ((5.679592561605404 59.122555235224986, 5.45808159495138 59.20118101284851))",356179_1816537
249,1816537,1589537,13709.29973,,,"MULTILINESTRING ((5.45808159495138 59.20118101284851, 5.363736201338181 59.31436558252173))",1816537_1589537
250,286285,287126,18009.67757,,,"MULTILINESTRING ((8.174478159931528 58.27173869333403, 8.296607356111744 58.420132561740694))",286285_287126
251,286285,1118108,15371.66788,,,"MULTILINESTRING ((8.174478159931528 58.27173869333403, 7.932455000426621 58.21918319404394))",286285_1118108
252,1622547,1791356,15049.78376,,,"MULTILINESTRING ((5.443418445249007 59.58818222697835, 5.437487219772264 59.72323789838401))",1622547_1791356
253,1118108,1122276,14791.64643,,,"MULTILINESTRING ((7.932455000426621 58.21918319404394, 7.813077398186331 58.336150298036436))",1118108_1122276
254,284642,283883,14798.77163,,,"MULTILINESTRING ((10.065971926535168 60.89349947270029, 10.338372609575885 60.89879615681353))",284642_283883
255,284642,184790,15114.86721,,,"MULTILINESTRING ((10.065971926535168 60.89349947270029, 10.162527336887807 61.02076218949265))",284642_184790
256,184790,283883,16596.88017,,,"MULTILINESTRING ((10.162527336887807 61.02076218949265, 10.338372609575885 60.89879615681353))",184790_283883
257,1630870,130456,16153.61285,,,"MULTILINESTRING ((7.873082612640776 61.54898069338407, 8.100403170533582 61.645336009666046))",1630870_130456
258,130456,297447,10135.1846,,,"MULTILINESTRING ((8.100403170533582 61.645336009666046, 8.266816106266345 61.69022633932294))",130456_297447
259,125175,105565,10147.61024,,,"MULTILINESTRING ((8.753743749152196 61.85002181807016, 8.946417638599682 61.84823571649572))",125175_105565
260,139395,74306,10681.87864,,,"MULTILINESTRING ((10.160966355161083 62.147455471770954, 10.335892235227217 62.19744462798372))",139395_74306
261,1232179,1851975,17250.82037,,,"MULTILINESTRING ((8.333637862419563 63.10671889152856, 8.622356813363115 63.024245029010515))",1232179_1851975
262,582705,1592173,10880.78563,,,"MULTILINESTRING ((9.384132313943486 63.22797267785098, 9.589596722863524 63.25878044540742))",582705_1592173
263,1840643,333428,11573.20092,,,"MULTILINESTRING ((8.406105310966614 62.74055475504914, 8.511730911473366 62.83243396890265))",1840643_333428
264,1840643,350782,16228.38609,,,"MULTILINESTRING ((8.406105310966614 62.74055475504914, 8.221065831804971 62.858982939955574))",1840643_350782
265,931072,514305,14867.04889,,,"MULTILINESTRING ((9.081387144695078 59.693197674085084, 9.333372489436748 59.73323118621974))",931072_514305
266,1695818,980897,19901.75852,,,"MULTILINESTRING ((6.686629406981254 60.826783335524965, 7.028021210332937 60.891402547943464))",1695818_980897
267,239784,240580,16480.91395,,,"MULTILINESTRING ((8.963957280950574 61.10639373450696, 8.674541130164961 61.15422257700509))",239784_240580
268,338561,341373,16998.80628,,,"MULTILINESTRING ((8.387404567388323 61.180274357753405, 8.07147170718949 61.17861263027136))",338561_341373
269,980760,1686797,11390.3923,,,"MULTILINESTRING ((7.2900974374202 60.9333794440916, 7.344598450281956 60.834667812560845))",980760_1686797
270,1686797,1634756,15382.70149,,,"MULTILINESTRING ((7.344598450281956 60.834667812560845, 7.57215615802421 60.752876612128915))",1686797_1634756
271,1634756,252368,16075.96148,,,"MULTILINESTRING ((7.57215615802421 60.752876612128915, 7.851968164420579 60.7077155040029))",1634756_252368
272,252368,1264979,17211.21169,,,"MULTILINESTRING ((7.851968164420579 60.7077155040029, 8.112059320020276 60.62070913765581))",252368_1264979
273,333428,350782,15099.28807,,,"MULTILINESTRING ((8.511730911473366 62.83243396890265, 8.221065831804971 62.858982939955574))",333428_350782
274,275272,296531,18754.41379,,,"MULTILINESTRING ((9.02739813517086 61.66239168729968, 8.856032291388013 61.51523734191464))",275272_296531
275,296531,274658,19332.18648,,,"MULTILINESTRING ((8.856032291388013 61.51523734191464, 8.812656655006041 61.34300382680388))",296531_274658
276,585747,70317,17152.64063,,,"MULTILINESTRING ((11.186968495917375 62.900395216303714, 10.885422219083202 62.96971115589232))",585747_70317
277,70317,584830,16615.78632,,,"MULTILINESTRING ((10.885422219083202 62.96971115589232, 10.558006345560361 62.97459386282932))",70317_584830
278,590166,500796,16705.5356,,,"MULTILINESTRING ((9.860969680590742 62.849065651484295, 9.734760297336901 62.987459920790556))",590166_500796
279,1842417,1842636,10662.17052,,,"MULTILINESTRING ((9.04798594415409 63.01065084067116, 8.843981334339732 62.98723733347475))",1842417_1842636
280,554541,613237,16488.85497,,,"MULTILINESTRING ((11.693947660092741 64.48020949996962, 12.036681469157438 64.47636719566572))",554541_613237
281,1041265,998564,16111.31803,,,"MULTILINESTRING ((18.577208046889886 69.1232255338375, 18.9821104311918 69.12147119405732))",1041265_998564
282,1006531,1045221,14158.98084,,,"MULTILINESTRING ((19.31579137308156 69.2277655993191, 19.37969701003003 69.35266019745524))",1006531_1045221
283,1045221,1011905,18133.81771,,,"MULTILINESTRING ((19.37969701003003 69.35266019745524, 19.251834638816945 69.50887423281563))",1045221_1011905
284,1011905,907160,16334.63684,,,"MULTILINESTRING ((19.251834638816945 69.50887423281563, 19.44635001622613 69.63858208082029))",1011905_907160
285,469697,410050,14399.98974,,,"MULTILINESTRING ((15.663781534736984 68.08542861925736, 15.356679454670939 68.0264992249194))",469697_410050
286,983298,983856,11719.58283,,,"MULTILINESTRING ((14.401255079350559 68.214591950362, 14.157737630543789 68.26822114776137))",983298_983856
287,983856,973720,13450.96459,,,"MULTILINESTRING ((14.157737630543789 68.26822114776137, 13.832338025596947 68.26856246496554))",983856_973720
288,293942,974527,12351.08449,,,"MULTILINESTRING ((13.564576480908206 68.13443045667738, 13.310057815175764 68.07752756940356))",293942_974527
289,974527,974990,10609.65637,,,"MULTILINESTRING ((13.310057815175764 68.07752756940356, 13.172298873696816 67.99759698028747))",974527_974990
290,907160,1008680,14641.46684,,,"MULTILINESTRING ((19.44635001622613 69.63858208082029, 19.8205032234766 69.65480503436414))",907160_1008680
291,424900,413112,13886.5009,,,"MULTILINESTRING ((15.230737969190107 68.63784126739172, 14.978372916051457 68.5541671318455))",424900_413112
292,987955,988264,16856.83452,,,"MULTILINESTRING ((25.10414930228877 70.38161380319255, 24.963714401250648 70.2381327991584))",987955_988264
293,988264,974905,19603.65624,,,"MULTILINESTRING ((24.963714401250648 70.2381327991584, 24.92951791455622 70.0628006452909))",988264_974905
294,975169,975503,18678.95842,,,"MULTILINESTRING ((25.28288086420853 70.15906862089494, 25.55178599064671 70.29958758446263))",975169_975503
295,975503,975936,16361.46396,,,"MULTILINESTRING ((25.55178599064671 70.29958758446263, 25.942950142138397 70.36398859030774))",975503_975936
296,975936,973638,10069.07646,,,"MULTILINESTRING ((25.942950142138397 70.36398859030774, 26.139194165036866 70.30253331768292))",975936_973638
297,973638,973930,16599.43953,,,"MULTILINESTRING ((26.139194165036866 70.30253331768292, 26.565130981516866 70.34170856279346))",973638_973930
298,973930,1818925,15500.51499,,,"MULTILINESTRING ((26.565130981516866 70.34170856279346, 26.85528555460236 70.44073730564357))",973930_1818925
299,832749,1101914,17561.22246,,,"MULTILINESTRING ((27.33086343693628 70.44362164103686, 27.80045221095047 70.43862566618203))",832749_1101914
300,1101914,1007500,15461.23499,,,"MULTILINESTRING ((27.80045221095047 70.43862566618203, 28.19107356742026 70.39350231881653))",1101914_1007500
301,1007500,1594521,10025.49048,,,"MULTILINESTRING ((28.19107356742026 70.39350231881653, 28.159624796253226 70.30426660022168))",1007500_1594521
